,station_name,closeness
940GZZLUMRH,Manor House,0.0705521472392638
940GZZLUSVS,Seven Sisters,0.07046114156723637
940GZZLUASL,Arsenal,0.07043842682140554
940GZZLUCGT,Canning Town,0.0700994546037857
940GZZDLWHM,West Ham (DLR),0.0695859872611465
940GZZLUBSC,Barons Court,0.06945327399872854
940GZZLUPLW,Plaistow,0.06939812609178975
940GZZLUHOH,Harrow-on-the-Hill,0.06939812609178975
910GMRYLAND,Maryland,0.06923320659062104
940GZZLUWKN,West Kensington,0.06888398486759142
940GZZLULYS,Leytonstone,0.06863514999214701
940GZZLUWBN,West Brompton,0.06857053193158638
940GZZDLCAN,Canary Wharf,0.06857053193158638
940GZZLUKOY,Kensington (Olympia),0.06842022858932206
910GGOSPLOK,Gospel Oak,0.0683453237410072
940GZZLUTFP,Tufnell Park,0.06818536433140895
940GZZLUBZP,Belsize Park,0.06810035842293907
940GZZDLPOP,Poplar,0.06806853582554517
940GZZDLWIQ,West India Quay,0.06797324622802925
910GHOMRTON,Homerton,0.0678044996121024
910GKENR,Kensal Rise,0.06769945778466305
910GHAKNYNM,Hackney Downs,0.06760519801980198
940GZZLUSBC,Shepherd's Bush,0.067552944813727
940GZZLUCPC,Clapham Common,0.06745909231244211
940GZZLUKPK,Kilburn Park,0.06701426161631652
940GZZLULAD,Ladbroke Grove,0.066850237111825
910GKNTSHTW,Kentish Town West,0.06661585365853659
940GZZLUCPK,Canons Park,0.06660570035055632
940GZZLUHSD,Hammersmith,0.06610195129329904
940GZZDLCGT,Canning Town (DLR),0.06608195977619839
940GZZLUTPN,Turnpike Lane,0.06603203384708371
940GZZLUTMH,Tottenham Hale,0.06587277660536629
940GZZLUWHW,West Harrow,0.06583308225369087
910GHACKNYC,Hackney Central,0.06576373212942062
940GZZDLSTL,Star Lane,0.06573405535499398
940GZZDLBLA,Blackwall,0.06566491359879789
940GZZDLABR,Abbey Road,0.06520441659206207
910GCMDNRD,Camden Road,0.0651363839618423
940GZZLUNHA,North Harrow,0.06511697213530025
940GZZLUUPK,Upton Park,0.06509757187546551
910GFRSTGT,Forest Gate,0.0649910767400357
910GDALSKLD,Dalston Kingsland,0.06450184501845019
940GZZLUSNB,Snaresbrook,0.0644447721574989
940GZZDLHEQ,Heron Quays,0.06434987483433957
940GZZLUWSD,Wanstead,0.06434987483433957
910GWLSDJHL,none,0.06434040047114252
940GZZLUFBY,Fulham Broadway,0.06429307047226718
910GCLDNNRB,Caledonian Road & Barnsbury,0.06428361282730215
940GZZDLEIN,East India,0.06423636630898133
910GUPRHLWY,Upper Holloway,0.06417033773861967
940GZZLUWCY,White City,0.06403868698710434
940GZZLUACY,Archway,0.06399179967784449
910GCNNB,Canonbury,0.06390757531441942
940GZZLUHTD,Hampstead,0.06387954977342494
910GHGHI,Highbury & Islington (Rail),0.06376769298117613
