,station_name,degree
910GKENSLG,none,0.004576659038901602
940GZZLUBZP,Belsize Park,0.004576659038901602
940GZZLUKSL,Kensal Green,0.004576659038901602
940GZZLUWJN,Willesden Junction,0.004576659038901602
910GHARLSDN,none,0.004576659038901602
940GZZLUHSN,Harlesden,0.004576659038901602
910GSTNBGPK,none,0.004576659038901602
940GZZLUSGP,Stonebridge Park,0.004576659038901602
910GWMBY,none,0.004576659038901602
940GZZLUWYC,Wembley Central,0.004576659038901602
940GZZLUHTD,Hampstead,0.004576659038901602
940GZZLUCFM,Chalk Farm,0.004576659038901602
940GZZDLCUT,Cutty Sark,0.004576659038901602
940GZZLUCSD,Colliers Wood,0.004576659038901602
940GZZDLISL,Island Gardens,0.004576659038901602
940GZZDLMUD,Mudchute,0.004576659038901602
940GZZDLCLA,Crossharbour,0.004576659038901602
940GZZDLSOQ,South Quay,0.004576659038901602
940GZZDLHEQ,Heron Quays,0.004576659038901602
940GZZDLLIM,Limehouse,0.004576659038901602
940GZZDLBNK,Bank (DLR),0.004576659038901602
940GZZLUSWN,South Wimbledon,0.004576659038901602
940GZZLUTBY,Tooting Broadway,0.004576659038901602
940GZZLUAGL,Angel,0.004576659038901602
940GZZLUTBC,Tooting Bec,0.004576659038901602
940GZZLUBLM,Balham,0.004576659038901602
940GZZLUCPS,Clapham South,0.004576659038901602
940GZZLUCPC,Clapham Common,0.004576659038901602
940GZZLUCPN,Clapham North,0.004576659038901602
940GZZLUOVL,Oval,0.004576659038901602
940GZZLUBOR,Borough,0.004576659038901602
940GZZLUODS,Old Street,0.004576659038901602
940GZZLUSWC,Swiss Cottage,0.004576659038901602
910GDALSKLD,Dalston Kingsland,0.004576659038901602
940GZZDLKGV,King George V,0.004576659038901602
940GZZLUWKA,Warwick Avenue,0.004576659038901602
910GCHDWLHT,Chadwell Heath,0.004576659038901602
910GGODMAYS,Goodmayes,0.004576659038901602
910GSVNKNGS,Seven Kings,0.004576659038901602
910GILFORD,Ilford,0.004576659038901602
910GMANRPK,Manor Park,0.004576659038901602
910GFRSTGT,Forest Gate,0.004576659038901602
910GMRYLAND,Maryland,0.004576659038901602
940GZZLURGP,Regent's Park,0.004576659038901602
940GZZLUMYB,Marylebone,0.004576659038901602
940GZZLUMVL,Maida Vale,0.004576659038901602
910GHRLDWOD,Harold Wood,0.004576659038901602
940GZZLUNFD,Northfields,0.004576659038901602
940GZZLUBOS,Boston Manor,0.004576659038901602
940GZZLUOSY,Osterley,0.004576659038901602
940GZZLUHWE,Hounslow East,0.004576659038901602
940GZZLUHWC,Hounslow Central,0.004576659038901602
940GZZLUHWT,Hounslow West,0.004576659038901602
940GZZLUKBN,Kilburn,0.004576659038901602
940GZZLUWIG,Willesden Green,0.004576659038901602
940GZZLUDOH,Dollis Hill,0.004576659038901602
910GGIDEAPK,Gidea Park,0.004576659038901602
910GBRTWOOD,Brentwood,0.004576659038901602
910GWDGRNPK,Woodgrange Park,0.004576659038901602
940GZZLUWOP,Woodside Park,0.004576659038901602
910GKENOLYM,none,0.004576659038901602
940GZZLUGDG,Goodge Street,0.004576659038901602
940GZZLUMTC,Mornington Crescent,0.004576659038901602
940GZZLUKSH,Kentish Town,0.004576659038901602
940GZZLUTFP,Tufnell Park,0.004576659038901602
940GZZLUACY,Archway,0.004576659038901602
940GZZLUHGT,Highgate,0.004576659038901602
940GZZLUEFY,East Finchley,0.004576659038901602
940GZZLUWFN,West Finchley,0.004576659038901602
940GZZLUTAW,Totteridge & Whetstone,0.004576659038901602
910GBROCKLY,Brockley,0.004576659038901602
