station_origin,station_destination,flows
Abbey Road,Bank and Monument,0
Sloane Square,Harlesden,0
Sloane Square,Harrow & Wealdstone,0
Gloucester Road,Oakwood,0
Gloucester Road,Northwood Hills,0
Gloucester Road,Northwood,0
Gloucester Road,Northolt,0
Gloucester Road,North Wembley,0
Gloucester Road,North Harrow,0
Sloane Square,Hainault,0
